,Attr2,Attr8,Attr9,Attr10,Attr15,Attr16,Attr17,Attr22,Attr26,Attr27,Attr34,Attr46,Attr64,class
0,0.465,0.91816,1.1519,0.42695,603.2,0.60511,2.1505,0.22349,0.49478,1.6345,0.48063,1.1207,5.344,0
5,0.55225,0.80761,1.292,0.446,683.17,0.53427,1.8108,0.3293,0.53427,2.872,0.59628,1.2819,6.3346,0
9,0.71174,0.405,1.1738,0.28826,4662.4,0.078286,1.405,0.038936,0.073286,0.79986,1.3801,0.80398,2.368,0
13,0.42473,1.3544,1.1023,0.57527,638.02,0.57208,2.3544,0.23383,0.46744,0.99725,0.55054,1.7274,38.492,0
14,0.20223,3.9448,1.2747,0.79777,470.07,0.77649,4.9448,0.12068,0.66123,2.7727,0.59674,2.4353,0.73834,0
15,0.25776,2.8796,0.96582,0.74224,-2741.7,-0.13313,3.8796,0.0044866,-0.15383,0.060134,0.017406,1.5215,1.1696,0
16,1.6385,-0.42649,0.93176,-0.69879,-1199.5,-0.3043,0.61032,-0.416,-0.30516,-1.6424,-0.25389,0.39126,12.402,0
18,0.20048,3.9044,1.0553,0.78276,395.12,0.92377,4.988,0.09721,0.78671,0.575,0.48489,2.7398,5.4276,0
23,0.75869,0.29483,0.87435,0.22368,-2837.0,-0.12866,1.3181,-0.15023,-0.12866,-1.3241,-0.19801,0.66858,1.8265,0
29,0.21797,2.8059,1.1422,0.6116,316.79,1.1522,4.5878,0.18059,0.96494,1.3404,0.82849,2.0845,3.7925,0
33,1.0533,-0.067076,0.97345,-0.070649,-4454.0,-0.08195,0.94942,-0.031876,-0.08195,-0.35509,-0.030263,0.73951,2.2176,0
34,1.1372,-0.1524,0.95288,-0.17332,-3828.6,-0.095335,0.87932,-0.060767,-0.095335,-0.33522,-0.053434,0.29169,2.7024,0
35,0.73053,0.31637,1.0386,0.23112,3334.1,0.10947,1.3689,0.056192,0.099014,0.38093,0.07692,0.74751,6.9397,0
36,0.77366,0.29256,1.0424,0.22634,2331.6,0.15655,1.2926,0.13297,0.15655,0.425,0.17187,0.78761,23.327,0
39,0.52042,0.91355,1.0256,0.47543,3382.7,0.1079,1.9215,0.030656,0.10155,0.19394,0.058907,0.54036,3.6471,0
40,0.85816,0.15048,1.0052,0.12913,-4975.5,-0.07336,1.1653,0.01308,-0.053553,0.058127,0.015241,0.42466,5.6181,0
42,0.58784,0.63701,1.0516,0.37446,1765.7,0.20671,1.7011,0.056669,0.19074,0.44841,0.096401,1.2379,6.1896,0
50,0.23033,3.0982,1.1504,0.71361,383.42,0.95196,4.3415,0.16332,0.82227,1.4494,0.70907,2.1549,4.2449,0
51,0.14481,5.9058,1.0813,0.85519,243.95,1.4962,6.9058,0.19001,1.4664,10.54,1.3122,0.55404,0.23987,0
52,0.77612,0.1959,1.0273,0.15204,4968.3,0.073466,1.2885,0.048834,0.065242,0.25068,0.062921,0.66365,10.832,0
